epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.025,3.50666,4.72826,4.08612,0.00164,0.2988,0.00176,0.00048,3.51874,8.23271,4.01655,0.000285078,0.000285078,0.000285078
2,279.969,3.23293,4.36643,3.65593,0.03931,0.04215,0.01875,0.00483,3.08118,5.34304,3.4019,0.000568977,0.000568977,0.000568977
3,418.546,2.97937,4.01125,3.34378,0.43217,0.08462,0.04401,0.00978,2.98502,4.95682,3.22455,0.000850973,0.000850973,0.000850973
4,557.636,2.85205,3.75819,3.18306,0.42635,0.06644,0.04742,0.01285,2.99727,10.1858,3.196,0.00113106,0.00113106,0.00113106
5,696.068,2.76528,3.58598,3.02066,0.13444,0.15942,0.07383,0.02392,2.80708,5.26061,3.02598,0.00140925,0.00140925,0.00140925
6,834.429,2.68887,3.49168,2.90428,0.18532,0.22746,0.13599,0.04616,2.59123,3.57647,2.80728,0.00140521,0.00140521,0.00140521
7,972.719,2.62968,3.33787,2.84306,0.49295,0.1563,0.10594,0.03649,2.71932,3.73564,2.89201,0.00140045,0.00140045,0.00140045
8,1110.99,2.59447,3.26001,2.76841,0.26433,0.26359,0.18328,0.06222,2.51441,3.36758,2.71792,0.00139569,0.00139569,0.00139569
9,1249.41,2.54552,3.16562,2.73332,0.6571,0.20209,0.25836,0.09792,2.47128,3.21204,2.67434,0.00139093,0.00139093,0.00139093
10,1387.82,2.47699,3.04662,2.68983,0.39874,0.20524,0.20619,0.07319,2.44621,3.86014,2.66448,0.00138617,0.00138617,0.00138617
11,1526.17,2.46803,3.02861,2.68353,0.28658,0.36462,0.27601,0.10159,2.46736,3.29932,2.6729,0.00138141,0.00138141,0.00138141
12,1663.68,2.37354,2.91011,2.59753,0.32072,0.31574,0.26832,0.10286,2.42823,3.21334,2.6412,0.00137666,0.00137666,0.00137666
13,1800.74,2.37949,2.91147,2.57155,0.7175,0.25247,0.32614,0.13616,2.31715,2.86597,2.51411,0.0013719,0.0013719,0.0013719
14,1937.82,2.26227,2.75504,2.50037,0.32444,0.38492,0.33065,0.14492,2.21966,2.82617,2.44944,0.00136714,0.00136714,0.00136714
15,2074.69,2.22137,2.67013,2.43099,0.57615,0.3041,0.30035,0.12291,2.18937,2.8239,2.44566,0.00136238,0.00136238,0.00136238
16,2211.53,2.15647,2.61273,2.39021,0.45858,0.43839,0.4329,0.20832,2.05356,2.56187,2.30629,0.00135762,0.00135762,0.00135762
17,2348.23,2.11916,2.55956,2.35312,0.48562,0.34624,0.32808,0.15153,2.08452,2.70496,2.32561,0.00135286,0.00135286,0.00135286
18,2484.83,2.0666,2.4717,2.30082,0.46059,0.4839,0.45995,0.22233,2.04576,2.45911,2.28406,0.0013481,0.0013481,0.0013481
19,2621.38,2.03533,2.47947,2.27254,0.41,0.38456,0.38139,0.17885,2.09047,2.59857,2.32116,0.00134335,0.00134335,0.00134335
20,2758.03,2.0337,2.41617,2.25154,0.49235,0.479,0.48629,0.2404,1.95359,2.46819,2.2041,0.00133859,0.00133859,0.00133859
21,2894.64,1.95896,2.40908,2.22731,0.48588,0.45432,0.48478,0.245,1.8945,2.332,2.19026,0.00133383,0.00133383,0.00133383
22,3031.31,1.93006,2.30985,2.20464,0.48001,0.49561,0.46767,0.23864,1.90884,2.26972,2.20039,0.00132907,0.00132907,0.00132907
23,3167.93,1.94155,2.28764,2.16987,0.64842,0.48968,0.54776,0.27476,1.85968,2.26596,2.14104,0.00132431,0.00132431,0.00132431
24,3304.58,1.93064,2.2425,2.15974,0.52802,0.48768,0.46097,0.22914,1.9085,2.15751,2.18466,0.00131955,0.00131955,0.00131955
25,3441.31,1.87378,2.21452,2.10965,0.56248,0.49504,0.52189,0.27813,1.80684,2.02611,2.06536,0.00131479,0.00131479,0.00131479
26,3578.05,1.84102,2.15812,2.1018,0.64094,0.55838,0.59225,0.31422,1.76319,2.04719,2.04201,0.00131004,0.00131004,0.00131004
27,3714.74,1.82177,2.14641,2.07454,0.56321,0.47241,0.48836,0.24923,1.9513,2.37687,2.22278,0.00130528,0.00130528,0.00130528
28,3851.52,1.79955,2.07506,2.03429,0.5122,0.54655,0.55384,0.30205,1.80589,1.97145,2.06012,0.00130052,0.00130052,0.00130052
29,3988.22,1.796,2.05119,2.0183,0.5387,0.51788,0.53091,0.28433,1.80336,2.17806,2.07507,0.00129576,0.00129576,0.00129576
30,4124.87,1.77753,2.04531,2.01928,0.60769,0.62261,0.63173,0.3415,1.67665,1.93538,1.99017,0.001291,0.001291,0.001291
31,4261.62,1.76383,2.00104,1.9944,0.64582,0.56938,0.61004,0.33844,1.63537,2.07843,1.93948,0.00128624,0.00128624,0.00128624
32,4398.3,1.73113,2.02665,1.98104,0.58461,0.52149,0.57657,0.31875,1.71275,2.06517,1.99344,0.00128148,0.00128148,0.00128148
33,4535.09,1.71003,1.94837,1.93932,0.61228,0.6015,0.62555,0.34876,1.6525,1.9001,1.9465,0.00127673,0.00127673,0.00127673
34,4671.78,1.72084,1.94127,1.94843,0.68812,0.55543,0.6424,0.36595,1.64676,1.88669,1.95016,0.00127197,0.00127197,0.00127197
35,4808.44,1.69041,1.95831,1.94327,0.56857,0.50709,0.54041,0.30513,1.72814,2.7287,1.9773,0.00126721,0.00126721,0.00126721
36,4945.15,1.69381,1.94334,1.93912,0.62352,0.65405,0.65133,0.36889,1.62058,1.7513,1.90108,0.00126245,0.00126245,0.00126245
37,5081.85,1.65904,1.88114,1.90549,0.63206,0.61136,0.63711,0.37966,1.60674,1.85184,1.87384,0.00125769,0.00125769,0.00125769
38,5218.64,1.6678,1.86663,1.88943,0.57983,0.63298,0.64782,0.37521,1.5945,1.72658,1.8795,0.00125293,0.00125293,0.00125293
39,5355.33,1.66888,1.89095,1.89957,0.64258,0.65974,0.68864,0.39516,1.58274,1.67296,1.88211,0.00124817,0.00124817,0.00124817
40,5492.02,1.64894,1.84793,1.88145,0.59822,0.6193,0.62606,0.36201,1.57535,1.73019,1.85163,0.00124342,0.00124342,0.00124342
41,5628.71,1.63141,1.84518,1.8689,0.64973,0.65237,0.68722,0.3981,1.56032,1.70196,1.8464,0.00123866,0.00123866,0.00123866
42,5765.39,1.66545,1.84096,1.8787,0.69984,0.60412,0.661,0.37351,1.56598,1.77727,1.83884,0.0012339,0.0012339,0.0012339
43,5902.11,1.59817,1.76599,1.82734,0.60038,0.67784,0.69035,0.39683,1.56175,1.68273,1.83582,0.00122914,0.00122914,0.00122914
44,6038.82,1.63953,1.78143,1.86241,0.63264,0.59996,0.63719,0.37414,1.60318,1.80026,1.87903,0.00122438,0.00122438,0.00122438
45,6175.42,1.58698,1.7304,1.80787,0.67206,0.61399,0.66713,0.38705,1.55941,1.7542,1.84263,0.00121962,0.00121962,0.00121962
46,6312.07,1.58496,1.74941,1.81415,0.67238,0.66034,0.70268,0.42243,1.46705,1.59155,1.75472,0.00121486,0.00121486,0.00121486
47,6448.92,1.58758,1.66765,1.83103,0.68187,0.70359,0.72383,0.43097,1.48813,1.51363,1.77779,0.00121011,0.00121011,0.00121011
48,6585.71,1.59716,1.7233,1.80764,0.74321,0.66988,0.73478,0.43193,1.47959,1.6565,1.76649,0.00120535,0.00120535,0.00120535
49,6722.43,1.55828,1.68813,1.78252,0.72495,0.66209,0.71899,0.428,1.51497,1.64023,1.78759,0.00120059,0.00120059,0.00120059
50,6859.31,1.5803,1.68251,1.7798,0.72676,0.69609,0.7501,0.44503,1.46692,1.46677,1.73206,0.00119583,0.00119583,0.00119583
51,6996.08,1.53994,1.65682,1.77913,0.70711,0.63248,0.69435,0.42515,1.46636,1.83782,1.75515,0.00119107,0.00119107,0.00119107
52,7132.78,1.5369,1.65283,1.76752,0.73492,0.72607,0.74918,0.44733,1.44195,1.4542,1.71919,0.00118631,0.00118631,0.00118631
53,7269.63,1.52554,1.6415,1.77393,0.71459,0.68928,0.74802,0.45254,1.4643,1.48677,1.73757,0.00118155,0.00118155,0.00118155
54,7406.53,1.52781,1.65856,1.77895,0.77091,0.71253,0.76677,0.4592,1.44443,1.47264,1.71721,0.0011768,0.0011768,0.0011768
55,7543.39,1.53063,1.63432,1.76559,0.78507,0.71809,0.77523,0.46875,1.42062,1.46767,1.71908,0.00117204,0.00117204,0.00117204
56,7680.25,1.54162,1.64723,1.76529,0.72277,0.71012,0.75386,0.44597,1.4403,1.4776,1.72645,0.00116728,0.00116728,0.00116728
57,7817.3,1.5458,1.61412,1.74426,0.77014,0.7113,0.76602,0.46387,1.41887,1.62756,1.71037,0.00116252,0.00116252,0.00116252
58,7954.06,1.52454,1.63518,1.75994,0.74676,0.6898,0.74043,0.44526,1.43953,1.53567,1.71602,0.00115776,0.00115776,0.00115776
59,8090.92,1.48659,1.53238,1.71968,0.74133,0.71574,0.767,0.4572,1.42426,1.44284,1.70853,0.001153,0.001153,0.001153
60,8227.82,1.48747,1.52686,1.71998,0.75063,0.73627,0.75871,0.45805,1.43915,1.42872,1.68388,0.00114824,0.00114824,0.00114824
61,8364.73,1.49995,1.55214,1.72422,0.73611,0.71635,0.76444,0.46361,1.40174,1.61203,1.66572,0.00114349,0.00114349,0.00114349
