epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1089.58,2.24765,3.0043,2.1009,0.51858,0.19193,0.12528,0.04679,2.58298,3.68208,2.3881,0.000476133,0.000476133,0.000476133
2,2165.65,2.23012,2.95275,2.12962,0.31576,0.35373,0.28177,0.12113,2.27461,4.10409,2.17554,0.000943037,0.000943037,0.000943037
3,3238.91,2.06488,2.74601,1.99626,0.35419,0.42484,0.339,0.15403,2.1208,2.7684,2.08536,0.00140051,0.00140051,0.00140051
4,4311.81,1.9334,2.49912,1.89502,0.37524,0.39721,0.38911,0.19706,2.03029,3.03964,1.97195,0.00138656,0.00138656,0.00138656
5,5384.84,1.84471,2.35669,1.82074,0.41766,0.47996,0.47023,0.27247,1.77413,2.35083,1.76161,0.00137241,0.00137241,0.00137241
6,6458.09,1.78703,2.24894,1.77693,0.57037,0.4745,0.48836,0.26812,1.7872,2.13521,1.78915,0.00135826,0.00135826,0.00135826
7,7531.35,1.74316,2.1688,1.73831,0.57963,0.61113,0.62013,0.3537,1.65961,1.84686,1.68458,0.00134412,0.00134412,0.00134412
8,8604.41,1.67917,2.09648,1.6938,0.62349,0.60475,0.6169,0.35303,1.63724,1.78205,1.66734,0.00132997,0.00132997,0.00132997
9,9676.87,1.64042,2.00169,1.657,0.5836,0.59464,0.59163,0.36465,1.60425,1.81184,1.65594,0.00131582,0.00131582,0.00131582
10,10750.2,1.62109,1.98234,1.64291,0.71173,0.60351,0.65134,0.40234,1.51214,1.57141,1.58432,0.00130168,0.00130168,0.00130168
11,11827.3,1.5924,1.89781,1.61824,0.68984,0.56681,0.62491,0.38928,1.55412,1.66734,1.57202,0.00128753,0.00128753,0.00128753
12,12903.9,1.56377,1.85141,1.59855,0.68583,0.62505,0.66535,0.43226,1.43114,1.44391,1.51697,0.00127338,0.00127338,0.00127338
13,13980.2,1.55352,1.81477,1.58382,0.71583,0.66553,0.70309,0.44639,1.45293,1.48859,1.54497,0.00125923,0.00125923,0.00125923
14,15056.2,1.54117,1.7825,1.56667,0.6557,0.67657,0.6783,0.42531,1.46076,1.46551,1.52032,0.00124509,0.00124509,0.00124509
15,16132.8,1.52869,1.7363,1.55494,0.72553,0.68141,0.72015,0.45501,1.4277,1.41476,1.50607,0.00123094,0.00123094,0.00123094
16,17210.3,1.48777,1.7338,1.55664,0.71295,0.68062,0.70887,0.46167,1.36964,1.63444,1.4627,0.00121679,0.00121679,0.00121679
17,18287.7,1.46364,1.67514,1.52565,0.80835,0.70909,0.7602,0.48522,1.35825,1.37067,1.47349,0.00120265,0.00120265,0.00120265
18,19365.2,1.4395,1.63338,1.50806,0.75143,0.68223,0.72791,0.48507,1.34874,1.46832,1.48034,0.0011885,0.0011885,0.0011885
19,20442,1.44383,1.61235,1.50893,0.7825,0.70808,0.74891,0.48832,1.3361,1.28995,1.452,0.00117435,0.00117435,0.00117435
20,21520,1.4145,1.53854,1.49116,0.73474,0.71383,0.73669,0.48529,1.34542,1.34135,1.4495,0.00116021,0.00116021,0.00116021
21,22596.9,1.40811,1.54501,1.47809,0.77204,0.70358,0.74622,0.49408,1.34869,1.26775,1.4793,0.00114606,0.00114606,0.00114606
22,23673.9,1.41311,1.52626,1.48118,0.77633,0.7418,0.77011,0.50869,1.31324,1.22512,1.42906,0.00113191,0.00113191,0.00113191
23,24750.1,1.36984,1.51499,1.45177,0.78616,0.7399,0.77737,0.52129,1.28426,1.1846,1.41349,0.00111776,0.00111776,0.00111776
24,25826.8,1.40146,1.48021,1.46311,0.76912,0.75064,0.77615,0.51277,1.26671,1.18339,1.39879,0.00110362,0.00110362,0.00110362
25,26903.5,1.36918,1.44145,1.45842,0.83209,0.76,0.80615,0.53644,1.2721,1.12631,1.38677,0.00108947,0.00108947,0.00108947
26,27980.9,1.36071,1.45402,1.44249,0.77824,0.75345,0.78743,0.52885,1.26325,1.12676,1.3939,0.00107532,0.00107532,0.00107532
27,29057.8,1.35911,1.42647,1.43459,0.79389,0.75548,0.79493,0.5424,1.23355,1.07309,1.35869,0.00106118,0.00106118,0.00106118
28,30134.8,1.32183,1.38653,1.41813,0.81919,0.77025,0.80626,0.54068,1.22946,1.10452,1.36295,0.00104703,0.00104703,0.00104703
29,31211.9,1.33169,1.39429,1.42242,0.83341,0.77184,0.82925,0.55926,1.22345,1.06617,1.36027,0.00103288,0.00103288,0.00103288
30,32288.7,1.31182,1.36485,1.41625,0.81689,0.76663,0.81887,0.55303,1.21313,1.05647,1.34578,0.00101873,0.00101873,0.00101873
31,33364.8,1.30583,1.34917,1.40162,0.82664,0.77352,0.81843,0.56172,1.20521,1.01238,1.34076,0.00100459,0.00100459,0.00100459
32,34441.8,1.31401,1.34178,1.41242,0.81237,0.77416,0.82335,0.56846,1.18351,1.00389,1.32538,0.00099044,0.00099044,0.00099044
33,35518.6,1.2802,1.3086,1.38753,0.845,0.78212,0.83921,0.57485,1.1733,0.9778,1.31471,0.000976293,0.000976293,0.000976293
34,36594.8,1.28373,1.30656,1.38581,0.86283,0.78636,0.84326,0.58386,1.16344,0.95899,1.30391,0.000962146,0.000962146,0.000962146
35,37671.6,1.27137,1.2702,1.37869,0.86846,0.78411,0.84702,0.58813,1.15801,0.93901,1.30696,0.000947999,0.000947999,0.000947999
36,38748.6,1.28033,1.26883,1.38243,0.82632,0.80222,0.84488,0.58986,1.14902,0.91101,1.3084,0.000933851,0.000933851,0.000933851
37,39825.5,1.25537,1.24917,1.37141,0.84409,0.79386,0.83879,0.58788,1.13373,0.92918,1.29612,0.000919704,0.000919704,0.000919704
38,40902.4,1.24482,1.23566,1.36339,0.8561,0.78442,0.84263,0.58526,1.11799,0.91269,1.27747,0.000905557,0.000905557,0.000905557
39,41978.7,1.23918,1.23512,1.36151,0.89489,0.79478,0.85279,0.59018,1.14535,0.91361,1.29358,0.00089141,0.00089141,0.00089141
40,43055.7,1.23198,1.23088,1.35237,0.88767,0.80011,0.85565,0.60018,1.11752,0.89191,1.27759,0.000877263,0.000877263,0.000877263
