epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.47,1.41955,1.86644,1.51431,0.36392,0.20569,0.19663,0.10927,2.13095,4.11804,2.16269,0.000475745,0.000475745,0.000475745
2,1077.25,1.64069,2.07663,1.63262,0.72339,0.27097,0.2966,0.14913,2.10064,4.15313,2.0267,0.000942653,0.000942653,0.000942653
3,1602.83,1.70526,2.07295,1.67403,0.23137,0.08329,0.10202,0.04235,2.91369,3.97321,2.55937,0.00140013,0.00140013,0.00140013
4,2127.78,1.71321,2.14717,1.70694,0.79378,0.3456,0.399,0.21721,1.9446,2.86646,1.86188,0.00138656,0.00138656,0.00138656
5,2652.38,1.63635,1.91506,1.63715,0.82603,0.41822,0.5179,0.31509,1.74243,2.36647,1.76201,0.00137241,0.00137241,0.00137241
6,3176.99,1.56824,1.77656,1.56152,0.59438,0.51059,0.5429,0.31854,1.75217,2.24111,1.73473,0.00135826,0.00135826,0.00135826
7,3701.11,1.49149,1.70766,1.52503,0.83327,0.51422,0.58286,0.32929,1.62696,1.92215,1.64401,0.00134412,0.00134412,0.00134412
8,4225.34,1.45376,1.60069,1.5001,0.51105,0.628,0.60924,0.39771,1.39914,1.81067,1.4409,0.00132997,0.00132997,0.00132997
9,4749.37,1.44882,1.53242,1.49142,0.7054,0.67497,0.70083,0.43076,1.43132,1.86346,1.46516,0.00131582,0.00131582,0.00131582
10,5273.3,1.40943,1.49824,1.46337,0.73475,0.69171,0.71963,0.45578,1.42219,1.4748,1.47206,0.00130168,0.00130168,0.00130168
11,5796.92,1.37348,1.45744,1.43228,0.72418,0.64973,0.67906,0.42029,1.47228,1.6141,1.52284,0.00128753,0.00128753,0.00128753
12,6320.32,1.34902,1.38697,1.42536,0.7294,0.75533,0.76889,0.49644,1.32502,1.51705,1.38783,0.00127338,0.00127338,0.00127338
13,6844.83,1.34077,1.38046,1.40728,0.69709,0.69475,0.69785,0.45703,1.33625,1.43029,1.39515,0.00125923,0.00125923,0.00125923
14,7368.69,1.30183,1.32358,1.40109,0.78564,0.72232,0.766,0.48744,1.3381,1.26185,1.39575,0.00124509,0.00124509,0.00124509
15,7892.35,1.28221,1.25035,1.36281,0.78516,0.74168,0.75331,0.49368,1.28595,1.24672,1.35581,0.00123094,0.00123094,0.00123094
